name,category,sku,sale_price,cost_price,stock_qty,reorder_level,image_url,tags,legacy_id
Room A1,Accomodation,ACC-ROOA1-0166,2000.0,200.0,0.0,5.0,,accomodation,22974
Room A2,Accomodation,ACC-ROOA2-0167,2000.0,200.0,0.0,5.0,,accomodation,22978
Room A3,Accomodation,ACC-ROOA3-0168,2000.0,200.0,0.0,5.0,,accomodation,22982
Room B1,Accomodation,ACC-ROOB1-0169,3000.0,200.0,0.0,5.0,,accomodation,22985
Room B2,Accomodation,ACC-ROOB2-0170,3000.0,200.0,0.0,5.0,,accomodation,22989
Room B3,Accomodation,ACC-ROOB3-0171,3000.0,200.0,0.0,5.0,,accomodation,22993
Room D1,Accomodation,ACC-ROOD1-0172,2500.0,200.0,0.0,5.0,,accomodation,22997
Room D2,Accomodation,ACC-ROOD2-0173,2500.0,200.0,0.0,5.0,,accomodation,23001
Room D3,Accomodation,ACC-ROOD3-0174,2500.0,200.0,0.0,5.0,,accomodation,23005
Rothmans by SportsMans (singles),CoTR Bar,COT-ROTBYS-0175,25.0,17.75,-1.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Cigarette_DS.jpg,cigarette,23009
Rothsman by Sportsman,CoTR Bar,COT-ROTBYS-0176,450.0,355.0,1.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Rothsman-by-Sportsman.png,cigarette,23010
Samosa,CoTR Kitchen,COT-SAM-0177,50.0,0.0,6.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Samosa.jpg,snack,23011
Sausage,CoTR Kitchen,COT-SAU-0178,60.0,30.0,23.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/sau.jpeg,snack,23013
Saute,CoTR Kitchen,COT-SAU-0179,250.0,150.0,0.0,5.0,,,23015
Savana Dry Cider,CoTR Bar,COT-SAVDRY-0180,300.0,245.0,4.0,6.0,,cider,23017
Smirnoff Ice Pineapple Punch Can 330ml,CoTR Bar,COT-SMIICE-0181,300.0,190.0,8.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Buy-Smirnoff-Ice-Pineapple-Punch-330ml.jpg,mixed vodka,23020
Smirnoff Vodka 250ml,CoTR Bar,COT-SMIVOD-0182,700.0,420.0,3.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Smirnoff-Vodka-250ml.jpg,vodka,23021
Smirnoff Vodka 350ml,CoTR Bar,COT-SMIVOD-0183,950.0,650.0,0.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Smirnoff-Vodka-350ml.jpg,vodka,23022
Smirnoff Vodka 750ml,CoTR Bar,COT-SMIVOD-0184,1800.0,1300.0,3.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Smirnoff-Vodka-750ml.jpg,vodka,23023
Smokie,CoTR Kitchen,COT-SMO-0185,50.0,25.0,72.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Smokie.png,snack,23024
Snapp Can 330ml,CoTR Bar,COT-SNACAN-0186,300.0,190.0,13.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Snapp-Apple-Cider.jpg,cider,23026
Soda Water 300ml,CoTR Bar,COT-SODWAT-0187,80.0,32.5,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Schweppese-Soda-Water.jpg,soda,23028
Spinach,CoTR Kitchen,COT-SPI-0188,50.0,30.0,5.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Spinach.jpg,vegetables,23029
Sprite,CoTR Bar,COT-SPR-0189,100.0,32.0,29.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/sprite.jpeg,soda,23031
Stoney 300ml,CoTR Bar,COT-STO300-0190,100.0,32.5,7.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Stoney-300ml.jpg,soda,23032
Swimming (upto 4 years),Swimming Pool,SWI-SWIUPT-0191,100.0,0.0,0.0,5.0,,,23033
Swimming Adults,Swimming Pool,SWI-SWIADU-0192,250.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/addults.jpeg,swimming,23036
Swimming Costume,Swimming Pool,SWI-SWICOS-0193,50.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Swimming-Costume.jpg,swimming,23039
Swimming Floater,Swimming Pool,SWI-SWIFLO-0194,150.0,0.0,0.0,5.0,,,23043
Swimming Kids (11yrs-15yrs),Swimming Pool,SWI-SWIKID-0195,200.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/kids.jpeg,swimming,23045
Swimming Kids (under 15yrs),Swimming Pool,SWI-SWIKID-0196,150.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/kids.jpeg,swimming,23048
Swimming Students,Swimming Pool,SWI-SWISTU-0197,300.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/students.jpeg,swimming,23052
Take Away Dish,CoTR Kitchen,COT-TAKAWA-0198,50.0,20.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Take-Away-Containers.jpg,containers,23055
Tattoo Bubble Gum,CoTR Bar,COT-TATBUB-0199,10.0,0.0,0.0,5.0,,,23057
The Guv'nor White  750ml,CoTR Bar,COT-THEGUV-0200,2500.0,0.0,2.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/The-Guvnor-White.jpg,white wine,23058
Three Barrels 1l,CoTR Bar,COT-THRBAR-0201,3500.0,1600.0,0.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Three-Barrels-Brandy-1l.jpg,brandy,23059
Tonic water,CoTR Bar,COT-TONWAT-0202,100.0,0.0,0.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Schweppes-Tonic-Soda-Water-500Ml.jpg,,23060
Tooth Brush,Room Sales,ROO-TOOBRU-0203,50.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/tooth-brush.png,,23061
Tooth Paste,Room Sales,ROO-TOOPAS-0204,50.0,0.0,3.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Tooth-Paste.jpg,,23064
Toy,Toys,TOY-TOY-0205,150.0,0.0,0.0,5.0,,,23067
Tropical Sweets,CoTR Bar,COT-TROSWE-0206,5.0,0.0,154.0,40.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/tropical-sweets.jpg,,23070
Trust Condoms,CoTR Bar,COT-TRUCON-0207,100.0,0.0,21.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Trust-Condoms.jpg,condoms,23071
Tusker Cider 500ml,CoTR Bar,COT-TUSCID-0208,300.0,247.0,21.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Tusker-Cider-500ml.jpg,cider,23072
Tusker Cider Can 500ml,CoTR Bar,COT-TUSCID-0209,350.0,221.0,6.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/tusker-cider-can-500ml.webp,beer can,23073
Tusker Lager 500ml,CoTR Bar,COT-TUSLAG-0210,300.0,169.0,10.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Tusker-Lager-500ml.jpg,beer,23074
Tusker Lager Can 500ml,CoTR Bar,COT-TUSLAG-0211,350.0,169.0,10.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Tusker-Lager-Beer-Can-500ml.jpg,beer,23075
Tusker Malt 500ml,CoTR Bar,COT-TUSMAL-0212,300.0,169.0,20.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Tusker-Malt-500ml.png,beer,23078
Tusker Malt Can 500ml,CoTR Bar,COT-TUSMAL-0213,350.0,169.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Tusker-Malt-Can-500ml.webp,beer can,23079
ugali,CoTR Kitchen,COT-UGA-0214,50.0,30.0,25.0,10.0,,,23080
V&A 250ml,CoTR Bar,COT-V&A250-0215,500.0,0.0,0.0,4.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/VA-250ml.jpg,whiskey,23082
Vaseline,Room Sales,ROO-VAS-0216,0.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Vaseline.jpg,,23083
Vat 69 Whisky 375ml,CoTR Bar,COT-VAT69W-0217,1000.0,860.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Vat-69-Whisky-375ml.jpg,whiskey,23086
Vat 69 Whisky 750ml,CoTR Bar,COT-VAT69W-0218,2000.0,1500.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Vat-69-Whisky-750ml.jpg,whiskey,23087
Viceroy Brandy 375ml,CoTR Bar,COT-VICBRA-0219,1000.0,650.0,2.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Viceroy-Brandy-375ml.jpg,brandy,23092
Viceroy Brandy 750ml,CoTR Bar,COT-VICBRA-0220,2000.0,1300.0,1.0,2.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/viceroy-brandy-5yr-750ml.png,brandy,23093
White Coffee Pot,CoTR Kitchen,COT-WHICOF-0221,100.0,0.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/download-8.webp,beverage,23094
white tea cup,CoTR Kitchen,COT-WHITEA-0222,50.0,0.0,0.0,5.0,,,23096
White tea pot,CoTR Kitchen,COT-WHITEA-0223,100.0,45.0,0.0,5.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/OIP.jpeg,,23098
White Teapot (500ml),CoTR Kitchen,COT-WHITEA-0224,250.0,0.0,0.0,5.0,,,23100
WhiteCap Lager 500ml,CoTR Bar,COT-WHILAG-0225,300.0,195.0,1.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/white-cap-lager-bottle-500ml.webp,beer,23102
WhiteCap Lager Can 500ml,CoTR Bar,COT-WHILAG-0226,350.0,221.0,11.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/WhiteCap-Lager-Can-500ml.jpg,beer can,23103
William Lawson's scotch shots,CoTR Bar,COT-WILLAW-0227,100.0,0.0,0.0,5.0,,,23104
Zappa Tots,CoTR Bar,COT-ZAPTOT-0228,200.0,0.0,0.0,5.0,,,23105
Lollipops,CoTR Bar,COT-LOL-0229,10.0,0.0,0.0,5.0,,,23128
Delmonte Mixed Berries 1L,CoTR Bar,COT-DELMIX-0230,350.0,260.0,1.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/OIP-1.jpeg,juice,23405
Delmonte Tropical 1L,CoTR Bar,COT-DELTRO-0231,350.0,260.0,4.0,3.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/download-1.webp,juice,23407
Guinness Foreign Extra Stout 500ml,CoTR Bar,COT-GUIFOR-0232,300.0,204.0,20.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Guinness-Foreign-Extra-Stout-500ml.jpg,beer,23446
Guinness Foreign Extra Stout Can,CoTR Bar,COT-GUIFOR-0233,350.0,0.0,10.0,12.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Guinness-Foreign-Extra-Stout-Can-500ml.jpg,beer can,23447
Homelet Eggs,CoTR Kitchen,COT-HOMEGG-0234,200.0,0.0,0.0,5.0,,,23451
Kenya Cane Lemon & Ginger 250ml,CoTR Bar,COT-KENCAN-0235,350.0,275.0,-3.0,4.0,,,23477
Predator,CoTR Bar,COT-PRE-0236,80.0,50.0,2.0,10.0,,,23535
Smirnoff Ice Black Can 300ml,CoTR Bar,COT-SMIICE-0237,300.0,203.0,8.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Smirnoff-Ice-Black-Can-300ml.jpeg,beer can,23587
Smirnoff Ice Double Black w Guarana Can,CoTR Bar,COT-SMIICE-0238,300.0,0.0,10.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Smirnoff-Ice-Double-Black-w-Guarana-Can.jpg,mixed vodka,23588
Tusker Lite 330ml,CoTR Bar,COT-TUSLIT-0239,300.0,186.0,25.0,15.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Tusker-Lite-330ml.jpg,beer,23645
Tusker Lite Can 500ml,CoTR Bar,COT-TUSLIT-0240,350.0,169.0,3.0,10.0,https://pos.cotr.co.ke/wp-content/uploads/2025/06/Tusker-Lite-Can-500ml.webp,beer can,23646
Gilbeys Gin 250ml,CoTR Bar,COT-GILGIN-0241,700.0,0.0,0.0,5.0,,,23812
